call_id,call_start_datetime,call_end_datetime,contact_category,transcript
CALL_0001,2025-01-01T09:00:00,2025-01-01T09:06:00,technical support,"Customer: Hi there, I’m calling because everything has been working well because the app isn’t working properly. Agent: I understand, I’ll look into this for you now. Customer: That sounds reasonable to me."
CALL_0002,2025-01-01T09:20:00,2025-01-01T09:24:00,technical support,"Customer: Hey, I’m calling to confirm some information because the router lights look wrong. Agent: Thanks for explaining that, let me check your account. Customer: Okay, that makes sense, thanks for explaining."
CALL_0003,2025-01-01T09:40:00,2025-01-01T09:50:00,general enquiry,"Customer: Hello, I just wanted to check a small detail because I just need clarification on my inclusions. Agent: I appreciate your patience, I’ll do my best to help. Customer: Okay, that makes sense, thanks for explaining."
CALL_0004,2025-01-01T10:00:00,2025-01-01T10:15:00,billing enquiry,"Customer: I’m angry because this keeps happening because my bill is higher than expected. Agent: I understand, I’ll look into this for you now. Customer: This is exactly why I’m so annoyed."
CALL_0005,2025-01-01T10:20:00,2025-01-01T10:25:00,service activation,Customer: I’m extremely unhappy with the service because the new connection date keeps changing. Agent: I can see why that would be frustrating. Customer: I’ve heard that before and nothing changes.
CALL_0006,2025-01-01T10:40:00,2025-01-01T10:48:00,general enquiry,"Customer: I’m really frustrated and honestly fed up because I’m checking contract end dates. Agent: I appreciate your patience, I’ll do my best to help. Customer: This is exactly why I’m so annoyed."
CALL_0007,2025-01-01T11:00:00,2025-01-01T11:12:00,complaint handling,"Customer: Hi, thanks for taking my call today because no one followed up on my case. Agent: Thanks for explaining that, let me check your account. Customer: Okay, that makes sense, thanks for explaining."
CALL_0008,2025-01-01T11:20:00,2025-01-01T11:34:00,network fault,"Customer: I’m angry because this keeps happening because my internet has been down for two days. Agent: Thanks for explaining that, let me check your account. Customer: I’ve heard that before and nothing changes."
CALL_0009,2025-01-01T11:40:00,2025-01-01T11:48:00,billing enquiry,Customer: I’m really frustrated and honestly fed up because my bill is higher than expected. Agent: Let me review the details and see what’s going on. Customer: I’ve heard that before and nothing changes.
CALL_0010,2025-01-01T12:00:00,2025-01-01T12:14:00,service activation,"Customer: This is getting beyond a joke because activation was promised but hasn’t happened. Agent: I understand, I’ll look into this for you now. Customer: This is exactly why I’m so annoyed."
CALL_0011,2025-01-01T12:20:00,2025-01-01T12:31:00,network fault,"Customer: Hey, I’m calling to confirm some information because the mobile signal keeps dropping. Agent: I understand, I’ll look into this for you now. Customer: I appreciate you clearing that up."
CALL_0012,2025-01-01T12:40:00,2025-01-01T12:47:00,service activation,"Customer: I’m angry because this keeps happening because activation was promised but hasn’t happened. Agent: Thanks for explaining that, let me check your account. Customer: I’ve heard that before and nothing changes."
CALL_0013,2025-01-01T13:00:00,2025-01-01T13:07:00,complaint handling,"Customer: Good morning, I’m pretty happy overall but had a quick question because I was promised a callback. Agent: Thanks for explaining that, let me check your account. Customer: Thanks, that answers my question."
CALL_0014,2025-01-01T13:20:00,2025-01-01T13:26:00,plan change,Customer: This is getting beyond a joke because the plan change hasn’t taken effect. Agent: Let me review the details and see what’s going on. Customer: You’re not actually fixing the problem.
CALL_0015,2025-01-01T13:40:00,2025-01-01T13:50:00,network fault,"Customer: Hello, I just wanted to check a small detail because I have no service at all right now. Agent: I appreciate your patience, I’ll do my best to help. Customer: That sounds reasonable to me."
CALL_0016,2025-01-01T14:00:00,2025-01-01T14:17:00,network fault,"Customer: Hello, I just wanted to check a small detail because my internet has been down for two days. Agent: Thanks for explaining that, let me check your account. Customer: Thanks, that answers my question."
CALL_0017,2025-01-01T14:20:00,2025-01-01T14:30:00,general enquiry,"Customer: Hello, I just wanted to check a small detail because I want to understand my current plan. Agent: Let me review the details and see what’s going on. Customer: Thanks, that answers my question."
CALL_0018,2025-01-01T14:40:00,2025-01-01T14:54:00,plan change,"Customer: I’m angry because this keeps happening because I recently changed plans. Agent: Thanks for explaining that, let me check your account. Customer: This is exactly why I’m so annoyed."
CALL_0019,2025-01-01T15:00:00,2025-01-01T15:06:00,plan change,Customer: I’m extremely unhappy with the service because I upgraded but nothing has changed yet. Agent: Let me review the details and see what’s going on. Customer: That’s not good enough.
CALL_0020,2025-01-01T15:20:00,2025-01-01T15:37:00,service activation,"Customer: Good morning, I’m pretty happy overall but had a quick question because my service still isn’t active. Agent: I can see why that would be frustrating. Customer: I appreciate you clearing that up."
CALL_0021,2025-01-01T15:40:00,2025-01-01T15:56:00,technical support,"Customer: Hello, I just wanted to check a small detail because the app isn’t working properly. Agent: I appreciate your patience, I’ll do my best to help. Customer: That sounds reasonable to me."
CALL_0022,2025-01-01T16:00:00,2025-01-01T16:05:00,plan change,"Customer: Hey, I’m calling to confirm some information because the plan change hasn’t taken effect. Agent: Thanks for explaining that, let me check your account. Customer: That sounds reasonable to me."
CALL_0023,2025-01-01T16:20:00,2025-01-01T16:25:00,network fault,"Customer: This is getting beyond a joke because the mobile signal keeps dropping. Agent: I appreciate your patience, I’ll do my best to help. Customer: That’s not good enough."
CALL_0024,2025-01-01T16:40:00,2025-01-01T16:52:00,general enquiry,Customer: I’m really frustrated and honestly fed up because I just need clarification on my inclusions. Agent: Let me review the details and see what’s going on. Customer: I’ve heard that before and nothing changes.
CALL_0025,2025-01-01T17:00:00,2025-01-01T17:16:00,billing enquiry,"Customer: I’m angry because this keeps happening because I’ve been charged for something I didn’t agree to. Agent: I appreciate your patience, I’ll do my best to help. Customer: You’re not actually fixing the problem."
CALL_0026,2025-01-01T17:20:00,2025-01-01T17:38:00,technical support,"Customer: Good morning, I’m pretty happy overall but had a quick question because I can’t log into my account. Agent: Let me review the details and see what’s going on. Customer: Thanks, that answers my question."
